# classify occupation
# builds classes for occupations 
# classes and keywords are taken from
# https://github.com/datasciencedojo/DataMiningFEC/blob/master/6%20Bucketing%20Occupation%20Groups.R


CLASS;KEYWORDS
"LIFE, PHYSICAL, AND SOCIAL SCIENCE";"SCIENTIST","PSYCHOLOGY","PSYCHOLOGIST","ARBORIST","ENTOMOLOGIST","METROLOGIST","GEMOLOGIST","ARCHEOLOGIST","GENETICIST","OCEANOGRAPHER","R&D","HORTICULTURIST","GEOGRAPHER","HYDROLOGIST","LINGUIST","PHILOSOPHER","TOXICOLOGIST","METEOROLOGIST","BIOTECH","ARCHAEOLOGIST","ECOLOGIST","PUBLIC HEALTH","HISTORIAN","HISTORIAN","EPIDEMIOLOGIST","GEOLOGIST","PHYSICIST","ECONOMIST","RESEARCHER","PSYCHOLOGIST","CHEMIST","ART HISTORIAN","RESEARCH","BIOLOGIST","INVENTOR"
"COMPUTER AND MATHEMATICAL";"WEBMASTER","TELECOM","TECH","WEB ","WEB","COMPUTER","TECHNOLOGIST","VFX","COMPUTERS","TECHNOLOGY","STATISTICIAN","PROGRAMMER","SOFTWARE","ACTUARY","IT","SOFTWARE","INFORMATION TECHNOLOGY","MATHEMATICIAN"
"FARMING, FISHING, AND FORESTRY";"AG","TIMBER","FARM","CATTLE","FEEDER","LOGGER","BEEKEEPER","LUMBER","FORESTRY","ORCHARDIST","GROWER","CATTLEMAN","LUMBERMAN","FISHING","HORSE BREEDER","WILDLIFE","FISHERMAN","RANCHER","FARMER","FARMING","AGRICULTURE","FORESTER"
"COMMUNITY AND SOCIAL SERVICE";"WELFARE","PRIEST","CONSERVATOR","MINISTRY","ALDERMAN","MISSIONARY","UNION","NATION","ADVOCACY","CONSERVATION","SOCIAL SERVICES","CIVIL SERVICE","TRIBE","ADVOCATE","CHAPLAIN","BISHOP","CAREGIVER","SOCIAL WORK","CLERGY","CONSERVATIONIST","PASTOR","SOCIAL WORKER","VOLUNTEER","COUNSELOR","MINISTER","INDIAN TRIBE","MEDIATOR","RABBI","ACTIVIST","PHILANTHROPIST"
"OFFICE AND ADMINISTRATIVE SUPPORT";"HR","VERIFIER","ANALYST","BOOKKEEPING","DISPATCHER","AIDE","ORIGINATOR","TELLER","DEMOGRAPHER", "EVALUATOR","CONTRACTING","ADJUSTER","REGISTRAR","RESOURCES","SCHEDULER","POLLSTER","DELEGATE","ORGANIZER","COMPLIANCE","SURVEYOR","CARRIER","SPECIALIST","EMPLOYEE","SERVANT","AGENT","CASHIER","ERSURVEYOR","CLERICAL","TRAVEL AGENT","VACATION","AGENT","LEGISLATIVE AIDE","LETTER CARRIER","AUCTIONEER","RECEPTIONIST","CLAIMS","WORD","GROCER","ADMIN","ADMINISTRATION","BOOKKEEPING","BOOKKEEPER","SECRETARY","ADMINISTRATOR","AFFAIRS","WEALTH","ADMINISTRATIVE ASSISTANT","STAFF","ACCOUNTING","PLANNER","HOTELIER","CLERK","ASSISTANT","TAX","HR"
"UNEMPLOYED";"DISABLED","NOT IN WORKFORCE","UNEMPLOYMENT","STUDENT","UNEMPOLYED","UNEMPLOYED","UNEMPLYE","UNEMPLYD","NOT EMPLOYED","NOT-EMPLOYED","NONE"
"HEALTHCARE SUPPORT";"CNA","X-RAY","VETERINERIAN","VETERNERARIANVETERNARIAN","VETERIANARIAN","NURSE","VETERIANRIAN","VETERINARY","HEALER","PHYSICIAL","VACCINE","ORTHOPEDIST","ORTHOTIST","HYGENIST","SONOGRAPHER","PHYSIATRIST","HEALTH","THERAPY","OPTICIAN","DIETICIAN","HEALTH-CARE","AUDIOLOGIST","DENTAL HYGIENIST","ACUPUNCTURIST","THERAPIST","PHYSICAL THERAPIST","RADIOLOGIST"
"MANAGEMENT";"DIRECTOR OF","VC","VICE-CHAIR","VP","MGR","CEO","BOARD","VICE","OFFICER","CHAIRMAN","CHIEF EXECUTIVE OFFICER","AVP","DPM","C.F.O","PM","CHARMAN","EXCECUTIVE","CPO","REL","BOSS","MANGER","EXCUTIVE","REP","SYSTEMS","MGT","STRATEGY","COB","FELLOW","C.I.O.","LEADER","CHARIMAN","CAO","CMO","CCO","CFP","LOGISTICS","C. E. O.","MGR","STRATEGIST","GOVT AFFAIRS","TRUSTEE","BOARD MEMBER","TRUSTEE","C.F.O.","CHAIR","VICE CHAIR","CHANCELLOR","GM","MANAGER","CEO","EXECUTIVE","CFO","C.E.O","DIRECTOR","PRESIDENT","OWNER","CHAIRMAN","MANAGING","MANAGEMENT","FOUNDER","ENTREPRENEUR","EXEC","CHIEF OPERATING OFFICER","VP","COO","CHAIR","CIO","SUPERVISOR","V.P.","FOUNDING PARTNER","CTO","C.O.O.","PRESIDENT"
"ARTS, DESIGN, ENTERTAINMENT, SPORTS, AND MEDIA";"SPOKESMAN","WRTER","WTITER","WRTIER","VIDEO","VOCALIST","VISUAL","CANTOR","VIOLIST","TELEVISION","PIANIST","SPORTSCASTER","JEWELRY","SPOKESPERSON","VIOLINIST","DOCUMENTARIAN","GALLERIST","JEWLER","CHOREOGRAPHER","ATHLETE","CINEMATOGRAPHER","ANIMATOR","STAGEHAND","FASHION","TOURISM","NUMISMATIST","MUSIC","REPORTER","COLUMNIST","PERFORMER","DANCER","RELATIONS","BROADCASTING","FILM","SPEAKER","PLAYWRIGHT","ILLUSTRATOR","ORGANIST","HOST","POET","VIDEOGRAPHER","POTTER","DECORATOR","NOVELIST","FLORIST","DECORATOR","SINGER", "PUBLICIST","ENTERTAINMENT","GOV'T AFFAIRS","CURATOR","BROADCASTER","TALENT AGENT","COMPOSER","PUBLICATION","COMMUNICATION","PR","ENTERTAINER","SCULPTOR","WRITER","PRODUCER","AUTHOR","DESIGNER","NARRATOR","ACTOR","VOICE","PHOTOGRAPHY","PUBLISHER","MUSICIAN","ACTOR","ARTIST","TV","WARNER","WEATHERMAN","ACTRESS","JOURNALIST","PUBLISHING","JEWELER","DESIGN","PHOTOGRAPHER","SCULPTOR","PAINTER"
"HOMEMAKER";"HOMEMAKER","HOME MAKER","HOME","HOUSE WIFE","WIFE","WIDOW","AT HOME","MOM","MOTHER","HOUSEWIFE"
"POLITICIAN";"DIPLOMAT","COUNCILMEMBER","COUNCILWOMAN","HOUSE REP","US GOVT","US GOV","REPRESENTATIVE","COUNCILMAN","SELECTMAN","ASSEMBLYMAN","CONGRESSWOMAN","ASSEMBLYWOMAN","COUNCILWOMAN","AMBASSADOR","ELECTED OFFICIAL","STATE REP","CONGRESSMAN","CONGRESS","SENATOR","COUNCIL MEMBER","MAYOR","CANDIDATE","COMMISSIONER"
"PROTECTIVE SERVICE";"SECURITY","COLONEL","LIEUTENANT","COSTOMS","FIREMAN","CRIMINOLOGIST","MARSHAL","DEFENSE","ARMY","VETERAN","MILITARY","MIL DOD","MARINE","IMMIGRA","DETECTIVE","NAVY","TROOPER","POLICE","FIGHTER","SHERIFF","AIR FORCE","FIREFIGHTER","SOLDIER"
"TRANSPORTATION AND MATERIAL MOVING";"VEHICAL","VEHICLE","VALET"," DOT","FERRIES","RAILROAD","SAILOR","MAIL","POST OFFCE","WAREHOUSE","POSTMASTER","DELIVERY","MOVER","EXCAVATOR","SHIPPING","YELLOW CAB","SHIP","AVIATION","TRUCKER","FLIGHT ATTENDANT","PILOT","TRANSPORTATION","TRUCKING","DRIVER"
"FOOD PREPARATION AND SERVING RELATED";"VENDING","BEEF","WINE","BARISTA","SERVER","BREWER","FOOD","WINEMAKER","RANCH","BARTENDER","BAKER","DAIRYMAN","VINTNER","CHEF","CATERER","RESTAURANTEUR","RESTAURATEUR"
"INSTALLATION, MAINTENANCE, AND REPAIR";"YARD","VEGETATION","EXTERMINATOR","CRAFTSMAN","CRAFYMAN","ELECTRICAL","REPAIR","RECYCLER","CUSTODIAN","LONGSHOREMAN","WASHER","HANDYMAN","HVAC","FOREMAN","WORKER","MAINTENANCE","WELDER","LABORER","TECHNICIAN","ELECTRICIAN","MECHANIC","PLUMBER"
"FOOD PREPARATION AND SERVING RELATED";"VENDING","BEEF","WINE","BARISTA","SERVER","BREWER","FOOD","WINEMAKER","RANCH","BARTENDER","BAKER","DAIRYMAN","VINTNER","CHEF","CATERER","RESTAURANTEUR","RESTAURATEUR"                                      
"SELF-EMPLOYED";"SELF-EMPLOYED","SELF EMPLOYED","SELF"
"PRODUCTION";"CONTROLLER","OPERATOR","WASTEWATER","TREATMENT","PURIFICATION","WATER POLLUTION","WATER PROGRAM","MECHANIC","STOCKMAN","UTILITY","PACKING","BOTTLER","COAL","MFG","DRILLER","LINEMAN","TEXTILES","OIL","OILFIELD","RECYCLING","AUTOMOTIVE","MINING","ENERGY","LANDMAN","MINER","PETROLEUM LANDMAN","MACHINIST","OIL & GAS","MANUFACTURER","MANUFACTURING","COAL MINER","OIL AND GAS","CONTROLLER"                                      
